Anton, Teodor
Kovacevic,A
Durao, Joaquim
Fressinet, Laurent
Sieglen, Joachim, Dr.
Braun,A
Gurevich, Mikhail
Nalbandian, Tigran
Maroczy, Geza
Ivanovic, Bozidar
Radjabov, Teimour
Garcia Romero, Benjamin Abel
Vega Gutierrez, Sabrina
Zysk, Robert
Karjakin, Sergey
Kryakvin, Dmitry
Sinkovics, Peter
Minzer, Claudio Javier
Zaitsev, Mikhail
Genov, Petar
Zaitsev, Alexander
Karasev, V.
Mititelu, Gheorghe
Tomashevsky, Evgeny
Michalik, Peter
Glek, Igor
Bailet, Pierre
Erigaisi Arjun
Paunovic, Tomislav
Paoli, Enrico
Krnic, Zdenko
Donchenko, A.
Vajda,L
Buturin, Vladimir
Perpinya Rofes, Lluis Maria
Bartel, Mateusz
Jenni, Florian
Wirig, Anthony
Roy Chowdhury, Saptarshi
Lutz, Klaus-Juergen, Dr.
Grischuk, Alexander
Kobalia, Mikhail
Alienkin, Aleksander
Naumkin, Igor
Lerner, Konstantin Z
Fichtl, Jiri
Istratescu, Andrei
Schandorff, Lars
Brenjo, Slavisa
Erdelyi, Zombor
Dolmatov, Sergey
Kovacevic, Vlatko
Rashkovsky, Nukhim N
Capablanca, Jose
Osnos, Viatcheslav
Pacher, Milan
Von Herman, Ulf
Kristiansen, Jens
Colon Garcia, Enrique
Nisipeanu, Liviu-Dieter
Giffard, Nicolas
Djuric, S.
Werner, Clemens
Kollen, Zyon
Granda Zuniga, Julio E
Vogt, L.
Barkhagen, Jonas
Hillarp Persson, Tiger
Ahlander, Bjorn
Gupta, Abhijeet
Thorfinnsson, Bragi
Dizdarevic, E.
Lengyel, Levente
Jussupow, Artur
Bronstein, Luis Marcos
Vilela De Acuna, Jose Luis
Stefansson, H.
Markus, Robert
Lemos,D
Wahls, Matthias
Hracek, Zbynek
Johnson, Daniel
Zezulkin, Jurij
Szmetan, Jorge
Kavutskiy, Konstantin
Seeman, Tarvo
Padevsky, Nikola
Rodriguez Cespedes, Amador
Chadaev, Nikolai
Moiseenko,A1
Dely, Peter
Vitiugov, Nikita
Bastian, Herbert
Brkic,A
Nikolova,A
Cruz, Cristhian
Trepat Herranz, Joan
Aseev, Konstantin N
Kengis, Edvins
Keres, Paul
Dudzinski, Piotr
Teske, Henrik
Nogueiras Santiago, Jesus
Epishin, Vladimir
Sadler, Matthew D
Egin, Vladimir
Andriasian, Zaven
Ortiz Suarez, Isan Reynaldo
Nautsch, Werner
Taimanov, Mark E
Fedorchuk, Sergey A.
Cioara, Andrei-Nestor
Hebden, Mark L
Szekely, P.
Womacka, Mathias
Warmerdam, Max
Dedebas, Emre Emin
Dreev, Aleksey
Roos, Daniel
Seibold, Hubert, Dr.
Nugumanov, Bakhtiyar
Iordachescu, Viorel
Heinzel, Olaf
Skytte,R
Gomes, Mary Ann
Postny, Evgeny
Chiburdanidze, Maia
Skembris, Spyridon
Troyke, Christian
Miladinovic, Igor
Aleksandrov, A.
Boricsev, Oleg
Parma, Bruno
Hernando Rodrigo, Julio Antonio
Lalic, Bogdan
Vachier-Lagrave, Maxime
Rodriguez, A.
Zvjaginsev, Vadim
Tempone, Marcelo
Ibarra Jerez, Jose Carlos
Shvayger, Yuliya
Gazic, Josip
Shkapenko, Pavel
Bode, Wilfried
Gheorghiu, Florin
Aronian, Levon
Zegarac, Vuk
Reddmann, Hauke, Dr.
Ciric, Dragoljub M
Omorjan, Dejan
Bjerre, Jonas Buhl
Krivoshey, Sergei
Gukesh D
Davies, N.
Kozlov, V.
Gruzmann, Boris
Rublevsky, Sergei
Kruppa, Yuri
Robatsch, Karl
